ranking,avatar_address,ticker,amount,rate
1,5Ea5755eD86631a4D086CC4Fae41740C8985F1B4,RUNESTONE_FENRIR1,3500,0
1,5Ea5755eD86631a4D086CC4Fae41740C8985F1B4,RUNESTONE_FENRIR2,1200,0
1,5Ea5755eD86631a4D086CC4Fae41740C8985F1B4,RUNESTONE_FENRIR3,200,0
2,01A0b412721b00bFb5D619378F8ab4E4a97646Ca,RUNESTONE_FENRIR2,650,0
2,01A0b412721b00bFb5D619378F8ab4E4a97646Ca,RUNESTONE_FENRIR3,120,0
2,01A0b412721b00bFb5D619378F8ab4E4a97646Ca,RUNESTONE_FENRIR1,2200,0
3,aB44635462880666dAa7f2Be5a21c71C1590fF2B,RUNESTONE_FENRIR2,450,0
3,aB44635462880666dAa7f2Be5a21c71C1590fF2B,RUNESTONE_FENRIR3,80,0
3,aB44635462880666dAa7f2Be5a21c71C1590fF2B,RUNESTONE_FENRIR1,1450,0
4,7459891A8862d26ff5aF86846a4c080f93f2E3c7,RUNESTONE_FENRIR3,60,0
4,7459891A8862d26ff5aF86846a4c080f93f2E3c7,RUNESTONE_FENRIR1,1000,0
4,7459891A8862d26ff5aF86846a4c080f93f2E3c7,RUNESTONE_FENRIR2,330,0
5,76cC2746ac35EADcc16B08183ce7194EED277947,RUNESTONE_FENRIR1,1000,0
5,76cC2746ac35EADcc16B08183ce7194EED277947,RUNESTONE_FENRIR3,60,0
5,76cC2746ac35EADcc16B08183ce7194EED277947,RUNESTONE_FENRIR2,330,0
6,a5DED46B4465593d804D2b35a3DFB311B6470afC,RUNESTONE_FENRIR1,1000,0
6,a5DED46B4465593d804D2b35a3DFB311B6470afC,RUNESTONE_FENRIR3,60,0
6,a5DED46B4465593d804D2b35a3DFB311B6470afC,RUNESTONE_FENRIR2,330,0
7,4Eee42F9d7B9A7cA49c3C63B8A422313C42346ab,RUNESTONE_FENRIR1,1000,0
7,4Eee42F9d7B9A7cA49c3C63B8A422313C42346ab,RUNESTONE_FENRIR3,60,0
7,4Eee42F9d7B9A7cA49c3C63B8A422313C42346ab,RUNESTONE_FENRIR2,330,0
8,bded05BFE1A606ba9F84013925601e80E0c0F68D,RUNESTONE_FENRIR1,1000,0
