ranking,avatar_address,ticker,amount,rate
1,5Ea5755eD86631a4D086CC4Fae41740C8985F1B4,RUNESTONE_FENRIR2,1200,0
1,5Ea5755eD86631a4D086CC4Fae41740C8985F1B4,RUNESTONE_FENRIR3,200,0
1,5Ea5755eD86631a4D086CC4Fae41740C8985F1B4,RUNESTONE_FENRIR1,3500,0
2,aB44635462880666dAa7f2Be5a21c71C1590fF2B,RUNESTONE_FENRIR1,2200,0
2,aB44635462880666dAa7f2Be5a21c71C1590fF2B,RUNESTONE_FENRIR3,120,0
2,aB44635462880666dAa7f2Be5a21c71C1590fF2B,RUNESTONE_FENRIR2,650,0
3,6dbFFeEC4d103f5aDa4c7050249FF877C0cb20B3,RUNESTONE_FENRIR3,80,0
3,6dbFFeEC4d103f5aDa4c7050249FF877C0cb20B3,RUNESTONE_FENRIR2,450,0
3,6dbFFeEC4d103f5aDa4c7050249FF877C0cb20B3,RUNESTONE_FENRIR1,1450,0
4,bded05BFE1A606ba9F84013925601e80E0c0F68D,RUNESTONE_FENRIR3,60,0
4,bded05BFE1A606ba9F84013925601e80E0c0F68D,RUNESTONE_FENRIR1,1000,0
4,bded05BFE1A606ba9F84013925601e80E0c0F68D,RUNESTONE_FENRIR2,330,0
5,FD3Ac1723aF2AE1d8147c4b13b24C718A20693Cd,RUNESTONE_FENRIR1,1000,0
5,FD3Ac1723aF2AE1d8147c4b13b24C718A20693Cd,RUNESTONE_FENRIR3,60,0
5,FD3Ac1723aF2AE1d8147c4b13b24C718A20693Cd,RUNESTONE_FENRIR2,330,0
6,a5DED46B4465593d804D2b35a3DFB311B6470afC,RUNESTONE_FENRIR2,330,0
6,a5DED46B4465593d804D2b35a3DFB311B6470afC,RUNESTONE_FENRIR3,60,0
6,a5DED46B4465593d804D2b35a3DFB311B6470afC,RUNESTONE_FENRIR1,1000,0
7,7d58F6271297f66Ee2E68EFaF094bDE796d01BC7,RUNESTONE_FENRIR3,60,0
7,7d58F6271297f66Ee2E68EFaF094bDE796d01BC7,RUNESTONE_FENRIR1,1000,0
7,7d58F6271297f66Ee2E68EFaF094bDE796d01BC7,RUNESTONE_FENRIR2,330,0
8,e647582faBF2D5904520b2587084b9d87E350EF0,RUNESTONE_FENRIR1,1000,0
8,e647582faBF2D5904520b2587084b9d87E350EF0,RUNESTONE_FENRIR3,60,0
8,e647582faBF2D5904520b2587084b9d87E350EF0,RUNESTONE_FENRIR2,330,0
9,c596C30D82813DA5Fbfcc22Da8F18Dd381b81E03,RUNESTONE_FENRIR3,60,0
9,c596C30D82813DA5Fbfcc22Da8F18Dd381b81E03,RUNESTONE_FENRIR1,1000,0
9,c596C30D82813DA5Fbfcc22Da8F18Dd381b81E03,RUNESTONE_FENRIR2,330,0
10,39a3609566Fa4888cf3Db68a4972A204884a656b,RUNESTONE_FENRIR2,330,0
10,39a3609566Fa4888cf3Db68a4972A204884a656b,RUNESTONE_FENRIR3,60,0
10,39a3609566Fa4888cf3Db68a4972A204884a656b,RUNESTONE_FENRIR1,1000,0
11,3CCF8781c0c55aE2f882f429aDC990C9BcE30E9f,RUNESTONE_FENRIR1,560,0
11,3CCF8781c0c55aE2f882f429aDC990C9BcE30E9f,RUNESTONE_FENRIR2,150,0
